property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/1272591051,MRCA,SR24045618,SOLD,SINGLE_FAMILY,7518  ASMAN AVE,,West Hills,CA,91307,3.0,2.0,,2036.0,1960.0,32.0,999750,2024-03-15,1050000,2024-04-16,7902.0,516.0,34.206983,-118.616562,1.0,0.0,2.0,http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b4243794435od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b4243794435od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b1601191811od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b3222891356od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b3226958886od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b3123688663od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b1118645821od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b2394354322od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b1332447347od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b2441636634od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b43535474od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b2814736898od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b3234601195od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b945627633od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b433953081od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b3274577119od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b2387512880od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b1393816844od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b2077799658od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b2502513369od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b463632089od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b3181750949od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b545893867od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b94320368od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a0a5d98b916ac1be47740ca4a35e0f15l-b2881812534od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1520345248,WECA,23-324385,SOLD,CONDOS,215 W 7TH ST,Apt 1306,Los Angeles,CA,90014,1.0,1.0,,470.0,1911.0,176.0,495000,2023-10-23,480444,2024-04-16,15926.0,1022.0,34.04492,-118.252419,14.0,550.0,,http://ap.rdcpix.com/aca59076a03d32b7fe8413a0b604ecbel-m2190094208od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/aca59076a03d32b7fe8413a0b604ecbel-m2190094208od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2267845577,WECA,24-348413,SOLD,CONDOS,1911  MALCOLM AVE,Apt 202,Los Angeles,CA,90025,2.0,2.0,,1561.0,1989.0,88.0,1100000,2024-01-19,1075000,2024-04-16,6755.0,689.0,34.048738,-118.433596,4.0,528.0,,http://ap.rdcpix.com/cc9695b2a8d1c5ae5558f378f3296e9fl-m159696246od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/cc9695b2a8d1c5ae5558f378f3296e9fl-m159696246od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1961526530,MRCA,SR24030509,SOLD,SINGLE_FAMILY,23882  MARIANO ST,,Woodland Hills,CA,91367,4.0,2.0,1.0,2509.0,1973.0,63.0,1495000,2024-02-13,1500000,2024-04-16,11787.0,598.0,34.16593,-118.647426,1.0,0.0,3.0,http://ap.rdcpix.com/f8d2015b3ca99fac4eaeefdc77184e80l-m3129631735od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/f8d2015b3ca99fac4eaeefdc77184e80l-m3129631735od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2952516994,MRCA,SR24038640,SOLD,SINGLE_FAMILY,7017  PETIT AVE,,Lake Balboa,CA,91406,4.0,2.0,,1892.0,1953.0,50.0,878000,2024-02-26,845000,2024-04-16,6452.0,447.0,34.198059,-118.497124,1.0,0.0,,http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2555009199od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2555009199od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3015994891od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m955221640od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m540907602od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2417070850od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2947253749od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2194524017od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m1739176921od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m118608204od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m319490791od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3999829806od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2089922305od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3426514735od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m1837308964od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3229771076od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3650401137od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m429680985od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2519307573od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m1632025776od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3177715789od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2383511059od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m2413450682od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3389597089od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m494896677od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3138445315od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/1bc239c03bfb443dd6b591d5074aefedl-m3299586293od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/1219687231,WECA,24-355839,SOLD,SINGLE_FAMILY,6652  WHITLEY TER,,Los Angeles,CA,90068,4.0,4.0,1.0,2292.0,1949.0,64.0,2145000,2024-02-12,2100000,2024-04-16,3953.0,916.0,34.106397,-118.335289,3.0,0.0,1.0,http://ap.rdcpix.com/83f925503c535d577bac0748f6c896dcl-m4120925317od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/83f925503c535d577bac0748f6c896dcl-m4120925317od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1730487133,WECA,24-353657,SOLD,SINGLE_FAMILY,11872  PRESTON TRAILS AVE,,Porter Ranch,CA,91326,4.0,3.0,,2405.0,1968.0,76.0,1370000,2024-01-31,1350000,2024-04-16,10575.0,561.0,34.287778,-118.556572,2.0,0.0,3.0,http://ap.rdcpix.com/0a589a7a3ed8c6b8a23ea33786d54a81l-m2838240355od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/0a589a7a3ed8c6b8a23ea33786d54a81l-m2838240355od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1971017270,WECA,24-362315,SOLD,SINGLE_FAMILY,158 S FORMOSA AVE,,Los Angeles,CA,90036,3.0,2.0,,2297.0,1937.0,41.0,1800000,2024-03-06,1685000,2024-04-16,6602.0,734.0,34.071893,-118.345881,1.0,0.0,,http://ap.rdcpix.com/0e36277877b69d1fd754165b4af74b56l-m1220463140od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/0e36277877b69d1fd754165b4af74b56l-m1220463140od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2135323514,WECA,24-365732,SOLD,SINGLE_FAMILY,6922  ENFIELD AVE,,Reseda,CA,91335,2.0,1.0,,1252.0,1950.0,33.0,750000,2024-03-14,798000,2024-04-16,6519.0,637.0,34.196363,-118.52313,1.0,0.0,2.0,http://ap.rdcpix.com/ee592f85a6587effeb92ba5e320ef7dal-m4275745426od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/ee592f85a6587effeb92ba5e320ef7dal-m4275745426od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1228941260,MRCA,SR24049563,SOLD,SINGLE_FAMILY,8140  JUMILLA AVE,,Winnetka,CA,91306,2.0,1.0,,970.0,1950.0,34.0,699900,2024-03-13,756000,2024-04-16,7186.0,779.0,34.217842,-118.56308,1.0,0.0,2.0,http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m430633080od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m430633080od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m1901567921od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m3051687031od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m29256172od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m2864238591od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m858281910od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m479873031od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m4086443369od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m4149113064od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m1099392962od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m2012681327od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m2424304968od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m567388948od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m2474339686od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m752561980od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m3949637492od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m1519839758od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m1683047776od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m1991830181od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m1667630365od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m546062523od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m1686178131od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m345917782od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m1122094544od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m2151324917od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/b37aabd9fa963ef75a558d4cf55e6501l-m2730290175od-w480_h360_x2.webp?w=1080&q=75"
